"Id";"Oznaczenie";"Pakiet";"Ilość";"Oznaczenie";"Dostawca i numer artykułu";
1;"J3,J1,J2";"PinHeader_1x02_P2.00mm_Vertical";3;"Conn_01x02";;;
2;"RFCONC2,RFCONC1";"PinHeader_1x04_P2.54mm_Vertical";2;"Conn_01x04";;;
3;"AMP2";"SSOP-8_3.95x5.21x3.27mm_P1.27mm";1;"THS7316";;;
4;"C1,C9";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"10uF";;;
5;"C10,C29,C28";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"100nF";;;
6;"JPLUM1";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"Jumper_2_Open";;;
7;"R31";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1k";;;
8;"R32";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"2k2";;;
9;"R33,R34,R35";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"75";;;
10;"R36,R39,R38";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"680";;;
11;"R37,R40";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"330";;;
12;"REG2";"SOT-223";1;"LM1117IMPX-3.3";;;
13;"R30";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"3k3";;;
14;"AUDIO_OUT1";"PinHeader_1x03_P2.54mm_Horizontal";1;"Conn_01x03";;;
15;"STEREO_OUT1";"Jack_3.5mm_Ledino_KB3SPRS_Horizontal";1;"AudioJack2_Ground";;;
16;"S-VIDEO1";"TE_5749181-1";1;"Mini-DIN-4";;;
17;"FB4,FB3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"Alternative THT";;;
18;"FB1,FB2";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"Ferrite Bead";;;
19;"GND1,GND2,GND3";"PinHeader_1x02_P2.54mm_Vertical";3;"Conn_01x02";;;
20;"REF**";"OSHW-Logo2_9.8x8mm_SilkScreen";1;"OSHW-Logo2_9.8x8mm_SilkScreen";;;
21;"REF**";"KiCad-Logo2_5mm_SilkScreen";1;"KiCad-Logo2_5mm_SilkScreen";;;
